shipment_id,route_id,date,delay_minutes,cost_usd,temp_c,status
SHP10000,RT02,1998-01-08,12,36.23,7.4,delivered
SHP10001,RT03,1998-01-09,8,37.28,4.4,failed
SHP10002,RT04,1998-01-10,7,31.8,3.1,in_transit
SHP10003,RT04,1998-01-11,12,98.73,5.1,in_transit
SHP10004,RT02,1998-01-12,10,69.52,0.8,delivered
SHP10005,RT04,1998-01-13,8,46.41,4.2,delivered
SHP10006,RT03,1998-01-14,5,47.82,1.4,delivered
SHP10007,RT02,1998-01-15,10,37.07,5.9,in_transit
SHP10008,RT01,1998-01-16,8,48.46,3.9,delivered
SHP10009,RT01,1998-01-17,5,79.82,6.0,delivered
SHP10010,RT02,1998-01-18,9,50.04,1.3,delivered
SHP10011,RT02,1998-01-19,14,53.18,5.1,in_transit
SHP10012,RT04,1998-01-20,8,59.35,3.0,delivered
SHP10013,RT03,1998-01-21,15,86.42,7.6,delivered
SHP10014,RT03,1998-01-22,8,48.88,4.7,in_transit
SHP10015,RT03,1998-01-23,14,82.01,6.2,delivered
SHP10016,RT03,1998-01-24,5,95.54,5.6,delivered
SHP10017,RT03,1998-01-25,7,48.83,1.8,failed
SHP10018,RT01,1998-01-26,6,42.3,5.7,delivered
SHP10019,RT04,1998-01-27,9,35.59,3.7,delivered
SHP10020,RT01,1998-01-28,9,58.34,2.5,delivered
SHP10021,RT03,1998-01-29,5,81.29,2.3,delivered
SHP10022,RT03,1998-01-30,11,34.32,2.4,delivered
SHP10023,RT02,1998-01-31,11,89.55,7.7,in_transit
SHP10024,RT01,1998-02-01,5,33.35,8.3,delivered
SHP10025,RT02,1998-02-02,8,40.61,8.2,in_transit
SHP10026,RT04,1998-02-03,9,98.03,3.1,in_transit
SHP10027,RT02,1998-02-04,6,60.23,2.4,delivered
SHP10028,RT04,1998-02-05,9,96.95,3.5,delivered
SHP10029,RT04,1998-02-06,16,45.06,4.0,delivered
SHP10030,RT04,1998-02-07,15,93.38,5.1,delivered
SHP10031,RT01,1998-02-08,8,83.42,4.9,in_transit
SHP10032,RT03,1998-02-09,10,64.68,3.9,delivered
SHP10033,RT01,1998-02-10,5,38.72,4.4,delivered
SHP10034,RT03,1998-02-11,11,41.42,0.9,in_transit
SHP10035,RT01,1998-02-12,12,61.53,3.2,delivered
SHP10036,RT03,1998-02-13,19,42.41,4.3,in_transit
SHP10037,RT03,1998-02-14,9,44.41,4.7,delivered
SHP10038,RT04,1998-02-15,14,65.57,6.6,delivered
SHP10039,RT03,1998-02-16,8,68.72,5.8,delivered
SHP10040,RT01,1998-02-17,9,34.63,4.3,in_transit
SHP10041,RT03,1998-02-18,8,51.11,4.7,delivered
SHP10042,RT01,1998-02-19,16,63.97,5.1,in_transit
SHP10043,RT02,1998-02-20,5,89.53,3.9,delivered
SHP10044,RT03,1998-02-21,8,41.26,7.6,delivered
SHP10045,RT01,1998-02-22,10,73.9,2.7,delivered
SHP10046,RT01,1998-02-23,11,77.59,5.0,delivered
SHP10047,RT02,1998-02-24,8,97.39,1.3,delivered
SHP10048,RT02,1998-02-25,9,71.59,5.1,delivered
SHP10049,RT02,1998-02-26,11,54.17,7.3,in_transit
SHP10050,RT03,1998-02-27,8,83.54,5.8,in_transit
SHP10051,RT03,1998-02-28,12,69.1,6.3,delivered
SHP10052,RT03,1998-03-01,8,91.45,6.5,delivered
SHP10053,RT02,1998-03-02,12,86.25,4.9,in_transit
SHP10054,RT01,1998-03-03,10,64.13,5.0,delivered
SHP10055,RT03,1998-03-04,10,78.44,7.1,delivered
SHP10056,RT02,1998-03-05,18,77.81,6.9,delivered
SHP10057,RT03,1998-03-06,10,31.15,3.0,delivered
SHP10058,RT01,1998-03-07,8,89.75,6.4,in_transit
SHP10059,RT03,1998-03-08,10,30.02,5.5,delivered
SHP10060,RT03,1998-03-09,12,72.53,7.6,in_transit
SHP10061,RT04,1998-03-10,9,37.02,4.0,delivered
SHP10062,RT03,1998-03-11,11,42.76,6.3,delivered
SHP10063,RT04,1998-03-12,10,40.83,4.2,in_transit
SHP10064,RT02,1998-03-13,8,64.52,3.8,delivered
SHP10065,RT04,1998-03-14,7,96.82,4.7,delivered
SHP10066,RT01,1998-03-15,12,34.92,4.3,delivered
SHP10067,RT02,1998-03-16,10,49.8,4.2,delivered
SHP10068,RT03,1998-03-17,11,53.24,7.0,delivered
SHP10069,RT04,1998-03-18,8,42.99,2.0,in_transit
SHP10070,RT03,1998-03-19,7,81.1,4.7,delivered
SHP10071,RT02,1998-03-20,8,59.33,5.3,delivered
SHP10072,RT02,1998-03-21,12,92.59,1.9,failed
SHP10073,RT01,1998-03-22,16,70.75,5.6,delivered
SHP10074,RT01,1998-03-23,9,42.36,2.5,in_transit
SHP10075,RT01,1998-03-24,6,62.36,5.5,delivered
SHP10076,RT04,1998-03-25,8,88.42,6.0,delivered
SHP10077,RT04,1998-03-26,8,72.56,2.5,delivered
SHP10078,RT02,1998-03-27,8,77.25,5.0,in_transit
SHP10079,RT01,1998-03-28,10,94.89,6.0,delivered
SHP10080,RT03,1998-03-29,6,64.67,6.0,delivered
SHP10081,RT03,1998-03-30,13,55.57,6.6,delivered
SHP10082,RT03,1998-03-31,13,45.88,2.0,delivered
SHP10083,RT04,1998-04-01,12,46.54,5.9,in_transit
SHP10084,RT04,1998-04-02,8,80.26,6.4,delivered
SHP10085,RT02,1998-04-03,6,30.21,6.2,in_transit
SHP10086,RT01,1998-04-04,7,90.98,4.0,delivered
SHP10087,RT03,1998-04-05,9,73.25,5.4,delivered
SHP10088,RT02,1998-04-06,15,88.93,8.7,failed
SHP10089,RT01,1998-04-07,12,30.55,6.8,delivered
SHP10090,RT01,1998-04-08,15,42.48,1.4,in_transit
SHP10091,RT02,1998-04-09,12,72.21,3.1,in_transit
SHP10092,RT04,1998-04-10,12,34.79,5.4,delivered
SHP10093,RT04,1998-04-11,16,91.57,6.9,delivered
SHP10094,RT01,1998-04-12,8,31.37,4.0,in_transit
SHP10095,RT01,1998-04-13,5,75.42,5.1,delivered
SHP10096,RT03,1998-04-14,13,94.72,5.0,delivered
SHP10097,RT01,1998-04-15,4,48.3,4.7,delivered
SHP10098,RT01,1998-04-16,12,59.22,7.7,delivered
SHP10099,RT04,1998-04-17,10,54.29,3.6,delivered
SHP10100,RT04,1998-04-18,4,72.85,5.3,failed
SHP10101,RT01,1998-04-19,11,91.16,3.2,delivered
SHP10102,RT01,1998-04-20,10,44.01,2.2,delivered
SHP10103,RT03,1998-04-21,6,77.51,3.5,delivered
SHP10104,RT04,1998-04-22,13,54.44,4.5,failed
SHP10105,RT01,1998-04-23,10,66.15,3.8,delivered
SHP10106,RT04,1998-04-24,9,46.12,7.6,in_transit
SHP10107,RT03,1998-04-25,8,32.25,3.7,delivered
SHP10108,RT03,1998-04-26,15,50.08,5.0,delivered
SHP10109,RT03,1998-04-27,9,37.93,2.6,failed
SHP10110,RT04,1998-04-28,6,86.89,-0.1,delivered
SHP10111,RT03,1998-04-29,9,52.94,6.6,in_transit
SHP10112,RT01,1998-04-30,11,71.16,6.3,delivered
SHP10113,RT03,1998-05-01,17,95.46,7.8,delivered
SHP10114,RT02,1998-05-02,4,81.83,4.7,delivered
SHP10115,RT01,1998-05-03,14,50.82,6.3,delivered
SHP10116,RT02,1998-05-04,13,70.58,2.0,failed
SHP10117,RT03,1998-05-05,10,62.7,3.7,in_transit
SHP10118,RT04,1998-05-06,9,33.93,8.9,in_transit
SHP10119,RT03,1998-05-07,10,72.22,5.4,delivered
SHP10120,RT04,1998-05-08,8,85.89,1.6,in_transit
SHP10121,RT04,1998-05-09,3,54.79,3.5,delivered
SHP10122,RT04,1998-05-10,9,87.26,2.8,delivered
SHP10123,RT03,1998-05-11,8,48.06,5.0,delivered
SHP10124,RT03,1998-05-12,15,73.86,4.9,in_transit
SHP10125,RT04,1998-05-13,17,71.87,4.5,delivered
SHP10126,RT02,1998-05-14,8,45.2,2.2,in_transit
SHP10127,RT01,1998-05-15,12,55.67,2.5,delivered
SHP10128,RT04,1998-05-16,7,51.74,5.1,delivered
SHP10129,RT01,1998-05-17,7,62.78,4.4,delivered
SHP10130,RT01,1998-05-18,6,88.94,5.7,delivered
SHP10131,RT01,1998-05-19,4,32.73,3.4,delivered
